"Texte_Descriptif";"APE_Propose";"APE_DV2";"APE_DV3";"Selection";"Nature_Activites";"CodeRetour_DV2"
"ACHAT REVENTE D'ARTICLES DE DECORATION INTERIEURE SUR LES MARCHES";"4778H";"6811Y";"6811Y";;;"SUCCES_ECHO"
"ACHAT REVENTE D'ARTICLES DE DECORATION INTERIEURE SUR LES MARCHES";"4778H";"6811Y";"6811Y";;;"SUCCES_ECHO"
"ACHAT REVENTE DE FLEURS SUR LES MARCHES";"4776Y";"4776Y";"6811Y";1;;"SUCCES_ECHO"
"ACHAT REVENTE DE FLEURS SUR LES MARCHES";"/";"4776Y";"6811Y";;;"SUCCES_ECHO"
"ACHAT REVENTE DE LOTS DIVERS DE FIN DE SERIE SUR LES MARCHES";"RAS";"4778H";"6811Y";;;"SUCCES_ECHO"
"Achat revente de produits sur différentes plateforme de E-Commerce";"4712H";"4791Y";"4712H";;;"SUCCES_ECHO"
"ACHAT REVENTE SUR INTERNET HABILLEMENT ACCESSOIRES ET CHAUSSURES";"4771Y";"6210Y";"6210Y";1;;"SUCCES_ECHO"
"ACHAT VENTE DE PRODUITS ALIMENTAIRES";"4711G";"4711G";"4639Y";1;;"SUCCES_ECHO"
"ACHAT VENTE DE PRODUITS ALIMENTAIRES";"4711G";"4711G";"4639Y";;;"SUCCES_ECHO"
"ACHAT VENTE DE VEHICULES D'OCCASION";"4781Y";"4781Y";"4781Y";1;;"SUCCES_ECHO"
"ACHAT VENTE DE VEHICULES D'OCCASION";"/";"4781Y";"4781Y";;;"SUCCES_ECHO"
"achat vente location de tous matériels véhicules et équipements roulants électriques et nautiques.";"4649Y";"4763Y";"4763Y";;;"SUCCES_ECHO"
"achat vente location de tous matériels véhicules et équipements roulants électriques et nautiques.";"4649Y";"4763Y";"4763Y";;;"SUCCES_ECHO"
"ACHAT-VENTE DE PRODUITS COSMETIQUES SUR INTERNET";"4775Y";"4791Y";"4775Y";;;"SUCCES_ECHO"
"ACHAT-VENTE DE PRODUITS COSMETIQUES SUR INTERNET";"4775Y";"4791Y";"4775Y";;;"SUCCES_ECHO"
"Achat, vente, négoce de navires de plaisance, voilier ou moteur, au détail";"4649Y";"4763Y";"4763Y";;;"SUCCES_ECHO"
"Achat/revente sur internet de livres d'occasion.";"4779H";"6210Y";"4779H";1;;"SUCCES_ECHO"
"Achat/vente de vinyles d'occasion en ligne";"4779H";"4791Y";"4769Y";1;;"SUCCES_ECHO"
"Achats et ventes et négoce de tout matériel d'équipement destiné aux entreprises et plus précisément les EPI (équipement de protection individuel)";"4778H";"4664J";;;;"SUCCES_ECHO"
"ACQUISITION D'INVESTISSEMENTS PRODUCTIFS EN VUE DE LA LOCATION AU PROFIT D'UNE ENTREPRISE SITUEE DANS LES DEPARTEMENTS OU COLLECTIVITES D'OU";"7739Y";"7739Y";"7739Y";;;"SUCCES_ECHO"
"ACQUISITION D'INVESTISSEMENTS PRODUCTIFS EN VUE DE LA LOCATION AU PROFIT D'UNE ENTREPRISE SITUEE DANS LES DEPARTEMENTS OU COLLECTIVITES D'OU";"?";"7739Y";"7739Y";;;"SUCCES_ECHO"
"ACQUISITION D'INVESTISSEMENTS PRODUCTIFS EN VUE DE LA LOCATION AU PROFIT D'UNE ENTREPRISE SITUEE DANS LES DEPARTEMENTS OU COLLECTIVITES.";;"7739Y";"7739Y";;;"SUCCES_ECHO"
"ACQUISITION D'INVESTISSEMENTS PRODUCTIFS EN VUE DE LA LOCATION AU PROFIT D'UNE ENTREPRISE SITUEE DANS LES DEPARTEMENTS OU COLLECTIVITES.";"7739Y";"7739Y";"7739Y";;;"SUCCES_ECHO"
"acquisition et mise en location d'un bien immobilier";"6820G";"6820H";"6820H";;;"SUCCES_ECHO"
"ACQUISITION, ADMINISTRATION ET GESTION D'IMMEUBLES";"6820H";"6832H";"6832H";;;"SUCCES_ECHO"
"ACQUISITION, ADMINISTRATION ET GESTION D'IMMEUBLES";"/";"6832H";"6832H";;;"SUCCES_ECHO"
"Activité d'élevage ovins en prairies. Seconde activité d'élevage équin (préparation et entraînement des équidés domestiques en vue de leur exploitation), secondaire.";"0145Y";"0143Y";"0143Y";1;;"SUCCES_ECHO"
"ACTIVITE DE  COORDINATION DE SOINS MEDICAUX";"8899H";"8610Y";"8621Y";;;"SUCCES_ECHO"
"ACTIVITE DE CONSEIL";"NC";"7020Y";"7020Y";;;"SUCCES_ECHO"
"ACTIVITE DE CONSEIL";"7020Y";"7020Y";"7020Y";;;"SUCCES_ECHO"
"activité de conseil et métreur de construction, bâtiment";"7112Y";"7499Y";"7499Y";1;;"SUCCES_ECHO"
"ACTIVITE DE MASSEUR-KINESITHERAPEUTE";"8695Y";"8699Y";"8695Y";1;;"SUCCES_ECHO"
"ACTIVITE DE MASSEUR-KINESITHERAPEUTE";"8695Y";"8699Y";"8695Y";;;"SUCCES_ECHO"
"ACTIVITE DE MASSEUR-KINESITHERAPEUTE LIBERAL";"8695Y";"8699Y";"8695Y";1;;"SUCCES_ECHO"
"ACTIVITE DE MASSEUR-KINESITHERAPEUTE LIBERAL";"RAS";"8699Y";"8695Y";;;"SUCCES_ECHO"
"ACTIVITE DE MENAGE";"8121Y";"9691Y";"8121Y";;;"SUCCES_ECHO"
"ACTIVITE DE MENAGE";"9691Y";"9691Y";"8121Y";;;"SUCCES_ECHO"
"Activité de service en analyse de données et gestion de programme.";"6310Y";"6220G";"6210Y";1;;"SUCCES_ECHO"
"Activité de service en analyse de données et gestion de programme.";"6310Y";"6220G";"6210Y";;;"SUCCES_ECHO"
"Activité de surveillance de fonctionnement de centrale hydroélectrique et visite sur site.";"8001Y";;"8009Y";;;"ERREUR_HTTP_200"
"ACTIVITES DE SANTE HUMAINE NON CLASSEES AILLEURS";"Problématique";"8699Y";"8699Y";;;"SUCCES_ECHO"
"ACTIVITES DE SANTE HUMAINE NON CLASSEES AILLEURS";"NC";"8699Y";"8699Y";;;"SUCCES_ECHO"
"ACTIVITES DE SANTE HUMAINE NON CLASSEES AILLEURS";"NC";"8699Y";"8699Y";;;"SUCCES_ECHO"
"ACTIVITES DE SANTE HUMAINE NON CLASSEES AILLEURS";"NC";"8699Y";"8699Y";;;"SUCCES_ECHO"
"ACTIVITES DE SANTE HUMAINE NON CLASSEES AILLEURS";"NC";"8699Y";"8699Y";;;"SUCCES_ECHO"
"ACTIVITES DE SANTE HUMAINE NON CLASSEES AILLEURS";"NC";"8699Y";"8699Y";;;"SUCCES_ECHO"
"ACTIVITES DE SANTE HUMAINE NON CLASSEES AILLEURS";"NC";"8699Y";"8699Y";;;"SUCCES_ECHO"
"ACTIVITES DE SANTE HUMAINE NON CLASSEES AILLEURS";"RAS";"8699Y";"8699Y";;;"SUCCES_ECHO"
"ACTIVITES DE SANTE HUMAINE NON CLASSEES AILLEURS";"8699Y";"8699Y";"8699Y";;;"SUCCES_ECHO"
"ACTIVITES DE SANTE HUMAINE NON CLASSEES AILLEURS";"8699Y (Autres activités pour la santé humaine n.c.a.)";"8699Y";"8699Y";;;"SUCCES_ECHO"
"ACTIVITES SPECIALISEES DE DESIGN";"7411Y";"7411Y";"7411Y";;;"SUCCES_ECHO"
"ACTIVITES SPECIALISEES DE DESIGN";"7412Y";"7411Y";"7411Y";;;"SUCCES_ECHO"
"agence spécialisée dans l'organisation d'événements ludiques et artistiques, dédiée aux entreprises, CSE, collect";"9329Y";;"7020Y";;;"ERREUR_HTTP_200"
"agence spécialisée dans l'organisation d'événements ludiques et artistiques, dédiée aux entreprises, CSE, collect";"9329Y";;"7020Y";;;"ERREUR_HTTP_200"
"AGENCEMENT DE LIEUX DE VENTE";"4332G";"4332H";"4332H";;;"SUCCES_ECHO"
"AGENCEMENT DE LIEUX DE VENTE";"4332H";"4332H";"4332H";;;"SUCCES_ECHO"
"Agent commercial en accessoire moto.";"4792G ou 4618Y";"4619H";"4619H";;;"SUCCES_ECHO"
"AGENT COMMERCIAL EN IMMOBILIER INSCRIT AU RSAC";"6831Y";"6831Y";"6831Y";1;;"SUCCES_ECHO"
"AGENT COMMERCIAL EN IMMOBILIER INSCRIT AU RSAC";"6831Y";"6831Y";"6831Y";;;"SUCCES_ECHO"
"AGENT IMMOBILIER";"6831Y";"6831Y";"6831Y";1;;"SUCCES_ECHO"
"AGENT IMMOBILIER";"RAS";"6831Y";"6831Y";;;"SUCCES_ECHO"
"Agriculteurs, éleveurs, fermiers, commerçants, négociants Vendeurs de tous types de bestiaux : bovins, ovins, moutons, volailles, tous animaux vivants";"0142Y";"4623Y";"4623Y";;;"SUCCES_ECHO"
"AIDE AU DEVELOPPEMENT PERSONNEL";"9699H";"9699H";"9699H";;;"SUCCES_ECHO"
"AIDE AU DEVELOPPEMENT PERSONNEL";"8696Y";"9699H";"9699H";;;"SUCCES_ECHO"
"AIDE AU DEVELOPPEMENT PERSONNEL";"9699H";"9699H";"9699H";;;"SUCCES_ECHO"
"AIDE AU DEVELOPPEMENT PERSONNEL";"9699H";"9699H";"9699H";;;"SUCCES_ECHO"
"AIDE AU DEVELOPPEMENT PERSONNEL";"9699H";"9699H";"9699H";;;"SUCCES_ECHO"
"AIDE AUX DEVOIRS ET SOUTIEN SCOLAIRE";"8569Y";"8559H";"8559H";;;"SUCCES_ECHO"
"ANIMATEUR CULTUREL INDEPENDANT";"9329Y";"9329Y";"9329Y";;;"SUCCES_ECHO"
"ANIMATEUR CULTUREL INDEPENDANT";"9329Y";"9329Y";"9329Y";;;"SUCCES_ECHO"
"ANIMATEUR INDEPENDANT D'ATELIERS ARTISTIQUES";"9329Y";"8552Y";"8552Y";;;"SUCCES_ECHO"
"ANIMATEUR INDEPENDANT D'ATELIERS ARTISTIQUES";"8552Y";"8552Y";"8552Y";;;"SUCCES_ECHO"
"ANIMATEUR INDEPENDANT INTERVENANT DANS DES STRUCTURES (MAISONS DE RETRAITE, ETC)";"9329Y";"9329Y";"9329Y";;;"SUCCES_ECHO"
"ANIMATEUR INDEPENDANT INTERVENANT DANS DES STRUCTURES (MAISONS DE RETRAITE, ETC)";"9329";"9329Y";"9329Y";;;"SUCCES_ECHO"
"ANIMATEUR SPORTIF INDEPENDANT";"9329Y";"9319Y";"9329Y";;;"SUCCES_ECHO"
"ANIMATEUR SPORTIF INDEPENDANT";;"9319Y";"9329Y";;;"SUCCES_ECHO"
"ANIMATEUR SPORTIF INDEPENDANT";"8551Y";"9319Y";"9329Y";;;"SUCCES_ECHO"
"ANIMATEUR SPORTIF INDEPENDANT";"9329Y";"9319Y";"9329Y";;;"SUCCES_ECHO"
"ANIMATEUR SPORTIF INDEPENDANT (CONCEPTION DES ACTIVITES ET ANIMATION)";"9329Y";"9319Y";"9329Y";;;"SUCCES_ECHO"
"ANIMATEUR SPORTIF INDEPENDANT (CONCEPTION DES ACTIVITES ET ANIMATION)";"8551Y";"9319Y";"9329Y";;;"SUCCES_ECHO"
"ANIMATEUR SPORTIF INDEPENDANT (CONCEPTION DES ACTIVITES ET ANIMATION)";"9329Y";"9319Y";"9329Y";;;"SUCCES_ECHO"
"ANIMATEUR SPORTIF INDEPENDANT (CONCEPTION DES ACTIVITES ET ANIMATION)";"8551y";"9319Y";"9329Y";;;"SUCCES_ECHO"
"Animation d'atelier artistique et pédagogique pour tout publiques.";"8552Y";"9329Y";"8552Y";1;;"SUCCES_ECHO"
"Animation d'ateliers de bibliothérapie";"8559H";"9329Y";"9329Y";;;"SUCCES_ECHO"
"APPORTER UN SOUTIEN LOGISTIQUE, ADMINISTRATIF ET HUMAIN A DES PROJETS ARTISTIQUES";"9039H";"9039G";"8210Y";;;"SUCCES_ECHO"
"APPORTEUR D'AFFAIRES";"8240Y";"7499Y";"8240Y";1;;"SUCCES_ECHO"
"APPORTEUR D'AFFAIRES";"8240Y";"7499Y";"8240Y";;;"SUCCES_ECHO"
"Apporteur d'affaires";"8299Y";"7499Y";"8240Y";1;;"SUCCES_ECHO"
"ARCHITECTE D'INTERIEUR";"7111Y";"7413Y";"7111Y";1;;"SUCCES_ECHO"
"ARCHITECTE D'INTERIEUR";"7111Y";"7413Y";"7111Y";;;"SUCCES_ECHO"
"ARCHITECTE D'INTERIEUR";"7111Y";"7413Y";"7111Y";;;"SUCCES_ECHO"
"ARCHITECTE D'INTERIEUR";"7111Y(bâti) ou 7413Y (esthétique)";"7413Y";"7111Y";;;"SUCCES_ECHO"
"ARCHTECTURE, DESIGN";"7111Y";"7411Y";;1;;"SUCCES_ECHO"
"ARTISAN TAXI";"4933G";"4933G";"4933G";1;;"SUCCES_ECHO"
"ARTISAN TAXI";"4933G";"4933G";"4933G";;;"SUCCES_ECHO"
"ARTISTE";"NC";"9013Y";;;;"SUCCES_ECHO"
"ARTISTE PEINTRE";"9012Y";"9012Y";"9012Y";1;;"SUCCES_ECHO"
"ARTISTE PEINTRE";"9012Y";"9012Y";"9012Y";;;"SUCCES_ECHO"
"ARTISTE PEINTRE";;"9012Y";"9012Y";;;"SUCCES_ECHO"
"ARTISTE PEINTRE";;"9012Y";"9012Y";;;"SUCCES_ECHO"
"ARTISTE PEINTRE";;"9012Y";"9012Y";;;"SUCCES_ECHO"
"ARTISTE PEINTRE";"9012Y";"9012Y";"9012Y";;;"SUCCES_ECHO"
"ARTISTE PEINTRE";"9012Y";"9012Y";"9012Y";;;"SUCCES_ECHO"
"ARTISTE PEINTRE";"9012Y";"9012Y";"9012Y";;;"SUCCES_ECHO"
"ARTISTE PEINTRE";"9012Y";"9012Y";"9012Y";;;"SUCCES_ECHO"
"ARTISTE PEINTRE";"RAS";"9012Y";"9012Y";;;"SUCCES_ECHO"
"Artiste peintre";"9012Y";"9012Y";"9012Y";;;"SUCCES_ECHO"
"ARTISTE PLASTICIENNE";"9012Y";"9012Y";"9012Y";1;;"SUCCES_ECHO"
"ARTISTE PLASTICIENNE";"9012Y";"9012Y";"9012Y";;;"SUCCES_ECHO"
"ARTISTE-AUTEUR";"NC";"9013Y";"5813Y";;;"SUCCES_ECHO"
"ARTISTE-AUTEUR";"NC";"9013Y";"5813Y";;;"SUCCES_ECHO"
"ARTS SPECTACLES ET ACTIVITES RECREATIVES";;"9329Y";"8552Y";;;"SUCCES_ECHO"
"ASSISTANCE A MAITRISE D'OUVRAGE";"7111Y";"7112Y";"7112Y";;;"SUCCES_ECHO"
"ASSISTANCE A MAITRISE D'OUVRAGE";"7112Y";"7112Y";"7112Y";;;"SUCCES_ECHO"
"Assistance de gestion de biens immobiliers; l'ensemble des services de conciergerie auprès des entreprises ou des particuliers consistant en";"9691Y ?";"4360Y";"6832H";;;"SUCCES_ECHO"
"ASSISTANCE INFORMATIQUE, ASSISTANCE TECHNIQUE PAR TELEPHONE";"6220H";"6220H";"6220H";;;"SUCCES_ECHO"
"ASSISTANCE INFORMATIQUE, ASSISTANCE TECHNIQUE PAR TELEPHONE";;"6220H";"6220H";;;"SUCCES_ECHO"
"ASTROLOGIE";"9699H";"9699H";"9699H";;;"SUCCES_ECHO"
"ASTROLOGIE";"9699H";"9699H";"9699H";;;"SUCCES_ECHO"
"AUTEUR";"9011Y";"9013Y";"6210Y";1;;"SUCCES_ECHO"
"AUTEUR";"9011Y";"9013Y";"6210Y";;;"SUCCES_ECHO"
"AUTOENTREPRENEUR";"Retour déclarant";"9699H";"5510Y";;;"SUCCES_ECHO"
"AUTRES ACTIVITES DE SOUTIEN AUX ENTREPRISES N.C.A.";"8299Y";"8240Y";"8299Y";;;"SUCCES_ECHO"
"AUTRES ACTIVITES DE SOUTIEN AUX ENTREPRISES N.C.A.";"NC";"8240Y";"8299Y";;;"SUCCES_ECHO"
"AUTRES ACTIVITES LIEES AU SPORT";"9319Y";"9319Y";"9319Y";;;"SUCCES_ECHO"
"AUTRES ACTIVITES LIEES AU SPORT";"NC";"9319Y";"9319Y";;;"SUCCES_ECHO"
"AUTRES ACTIVITES LIEES AU SPORT";"9319Y";"9319Y";"9319Y";;;"SUCCES_ECHO"
"AUTRES ACTIVITES LIEES AU SPORT";"9319Y";"9319Y";"9319Y";;;"SUCCES_ECHO"
"AUTRES ACTIVITES LIEES AU SPORT";"9318Y";"9319Y";"9319Y";;;"SUCCES_ECHO"
"AUTRES TRAVAUX DE FINITION";"NC";"4335Y";"4335Y";;;"SUCCES_ECHO"
"AUTRES TRAVAUX DE FINITION";"43.35Y";"4335Y";"4335Y";;;"SUCCES_ECHO"
"BIOGRAPHIE, ECRITURE DE RECIT DE VIE";"9011Y";"9011Y";"9011Y";;;"SUCCES_ECHO"
"BIOGRAPHIE, ECRITURE DE RECIT DE VIE";"RAS";"9011Y";"9011Y";;;"SUCCES_ECHO"
"BLOGUEUR PROFESSIONNEL";"6039Y";"5813Y";"6039Y";;;"SUCCES_ECHO"
"BLOGUEUR PROFESSIONNEL";"6039Y";"5813Y";"6039Y";1;;"SUCCES_ECHO"
"BOUTIQUE INTERNET";"NC";"6210Y";"6210Y";;;"SUCCES_ECHO"
"BOUTIQUE INTERNET";"NC";"6210Y";"6210Y";;;"SUCCES_ECHO"
"BOUTIQUE INTERNET";"NC";"6210Y";"6210Y";;;"SUCCES_ECHO"
"BOUTIQUE INTERNET";"NC";"6210Y";"6210Y";;;"SUCCES_ECHO"
"BoviShiatsu exercera des Shiatsu (techniques de massages permettant le rééquilibrage des énergies du corps et de l'esprit) sur des animaux c";"8699Y";"8696Y";"9623Y";;;"SUCCES_ECHO"
"Broderie, flocage et personnalisation pour professionnels et particuliers";"1330Y";"1330Y";"1330Y";;;"SUCCES_ECHO"
"CARTOMANCIE";"9699H";"9699H";"9699H";;;"SUCCES_ECHO"
"CARTOMANCIE";;"9699H";"9699H";;;"SUCCES_ECHO"
"CERAMISTE";;"4333Y";;;;"SUCCES_ECHO"
"CERAMISTE";"2341Y";"4333Y";;;;"SUCCES_ECHO"
"CEREALES";;"0111Y";"0111Y";;;"SUCCES_ECHO"
"CEREALES";"0111Y";"0111Y";"0111Y";;;"SUCCES_ECHO"
"CHARGEE DE CLIENTELE, RELATION CLIENT ,TRAITEMENT DE RECLAMATION CLIENT";"8240Y";"4360Y";"8220Y";;;"SUCCES_ECHO"
"CHASSE";"9319Y";"0170Y";"0170Y";;;"SUCCES_ECHO"
"CHASSE";"0170Y";"0170Y";"0170Y";;;"SUCCES_ECHO"
"CHAUDRONNERIE";"2540Y";"3320Y";"3320Y";;;"SUCCES_ECHO"
"CHAUDRONNERIE";"2511Y par défaut ?";"3320Y";"3320Y";;;"SUCCES_ECHO"
"CHARGEE DE CLIENTELE, RELATION CLIENT ,TRAITEMENT DE RECLAMATION CLIENT";"8240Y";"4360Y";"8220Y";;;"SUCCES_ECHO"
"CHAUFFEUR VTC";"4933H";"4933H";"4933H";;;"SUCCES_ECHO"
"CHAUFFEUR VTC";;"4933H";"4933H";;;"SUCCES_ECHO"
"CHAUFFEUR VTC";;"4933H";"4933H";;;"SUCCES_ECHO"
"CHAUFFEUR VTC";;"4933H";"4933H";;;"SUCCES_ECHO"
"CHAUFFEUR VTC";"4933H";"4933H";"4933H";;;"SUCCES_ECHO"
"CHAUFFEUR VTC";"4933H";"4933H";"4933H";;;"SUCCES_ECHO"
"CHAUFFEUR VTC";"4933H";"4933H";"4933H";;;"SUCCES_ECHO"
"CHAUFFEUR VTC";"4933H";"4933H";"4933H";;;"SUCCES_ECHO"
"CHAUFFEUR VTC";"4933H";"4933H";"4933H";;;"SUCCES_ECHO"
"CHAUFFEUR VTC";"RAS";"4933H";"4933H";;;"SUCCES_ECHO"
"COACH POUR ANIMAUX DE COMPAGNIE";"9699G";"9699G";"9699H";1;;"SUCCES_ECHO"
"COACH POUR ANIMAUX DE COMPAGNIE";"/";"9699G";"9699H";;;"SUCCES_ECHO"
"COACH POUR ANIMAUX DE COMPAGNIE";"9699G";"9699G";"9699H";;;"SUCCES_ECHO"
"COACH POUR ANIMAUX DE COMPAGNIE";"9699G";"9699G";"9699H";;;"SUCCES_ECHO"
"COACH SPORTIF";"9699H";"8551Y";"9699H";;;"SUCCES_ECHO"
"COACH SPORTIF";"8551Y";"8551Y";"9699H";;;"SUCCES_ECHO"
"coaching en salle de sport";"8551Y";"8551Y";"9312Y";;;"SUCCES_ECHO"
"COACHING SPORTIF";"8551Y";"8551Y";"8551Y";1;;"SUCCES_ECHO"
"COIFFURE A DOMICILE";"9621H";"9621H";"9621H";;;"SUCCES_ECHO"
"COIFFURE A DOMICILE";"RAS";"9621H";"9621H";;;"SUCCES_ECHO"
"COIFFURE HORS SALONS";;"9621H";"9621H";;;"SUCCES_ECHO"
"COIFFURE HORS SALONS";"9621H";"9621H";"9621H";;;"SUCCES_ECHO"
"COIFFURE MIXTE A DOMICILE";"9621H";"9621H";"9621H";1;;"SUCCES_ECHO"
"COIFFURE MIXTE A DOMICILE";"/";"9621H";"9621H";;;"SUCCES_ECHO"
"COIFFURE MIXTE A DOMICILE";"9621H";"9621H";"9621H";;;"SUCCES_ECHO"
"COIFFURE MIXTE A DOMICILE";"RAS";"9621H";"9621H";;;"SUCCES_ECHO"
"COIFFURE MIXTE A DOMICILE";"9621H";"9621H";"9621H";;;"SUCCES_ECHO"
"COIFFURE MIXTE A DOMICILE";"9621H";"9621H";"9621H";;;"SUCCES_ECHO"
"COMMERCE DE DETAIL ALIMENTAIRE SUR EVENTAIRES ET MARCHES";"NC";"4711L";"4711L";;;"SUCCES_ECHO"
"COMMERCE DE DETAIL ALIMENTAIRE SUR EVENTAIRES ET MARCHES";"RAS";"4711L";"4711L";;;"SUCCES_ECHO"
"COMMERCE DE DETAIL DE PRODUITS SURGELES.";"NC";;"4639Y";;;"ERREUR_HTTP_200"
"COMMERCE DE DETAIL DE PRODUITS SURGELES.";"/";;"4639Y";;;"ERREUR_HTTP_200"
"Commerce de detail en magasin specialise et sur un site de vente en ligne de produits alimentaires et menagers";"4711G";"4727H";;1;;"SUCCES_ECHO"
"COMMERCE DE DETAIL SUR INTERNET";"NC";"4791Y";"4740Y";;;"SUCCES_ECHO"
"COMMERCE DE DETAIL SUR INTERNET";"4712H";"4791Y";"4740Y";;;"SUCCES_ECHO"
"Commerce de gros et semi-gros de tous produits non réglementés, import/export";"4690Y";"4722Y";"4722Y";;;"SUCCES_ECHO"
"COMMERCE DE VOITURES ET DE VEHICULES AUTOMOBILES LEGERS";"4781Y";"4781Y";"4781Y";1;;"SUCCES_ECHO"
"COMMERCE DE VOITURES ET DE VEHICULES AUTOMOBILES LEGERS";"4781Y";"4781Y";"4781Y";;;"SUCCES_ECHO"
"COMMERCE DE VOITURES ET VEHICULES AUTOMOBILES LEGERS";"4781Y";"4781Y";"4781Y";;;"SUCCES_ECHO"
"COMMERCE DE VOITURES ET VEHICULES AUTOMOBILES LEGERS";"4781Y";"4781Y";"4781Y";;;"SUCCES_ECHO"
"COMMERCE DE VOITURES ET VEHICULES AUTOMOBILES LEGERS";;"4781Y";"4781Y";;;"SUCCES_ECHO"
"COMMERCE DE VOITURES ET VEHICULES AUTOMOBILES LEGERS";;"4781Y";"4781Y";;;"SUCCES_ECHO"
"COMPORTEMENTALISTE ANIMALIER, CYNOLOGISTE";;"9699G";"9699G";;;"SUCCES_ECHO"
"COMPORTEMENTALISTE ANIMALIER, CYNOLOGISTE";"9699G";"9699G";"9699G";;;"SUCCES_ECHO"
"COMPORTEMENTALISTE ANIMALIER, CYNOLOGISTE";"9699G";"9699G";"9699G";;;"SUCCES_ECHO"
"COMPORTEMENTALISTE ANIMALIER, CYNOLOGISTE";"9699G";"9699G";"9699G";1;;"SUCCES_ECHO"
"COMPOSITION MUSICALE AVEC OU SANS PAROLES";;"9011Y";"9011Y";;;"SUCCES_ECHO"
"COMPOSITION MUSICALE AVEC OU SANS PAROLES";"9011Y";"9011Y";"9011Y";1;;"SUCCES_ECHO"
"CONCEPTEUR GRAPHIQUE SANS DROIT D'AUTEUR";"7412Y";"7412Y";"1813Y";;;"SUCCES_ECHO"
"CONCEPTEUR GRAPHIQUE SANS DROIT D'AUTEUR";"/";"7412Y";"1813Y";;;"SUCCES_ECHO"
"CONCEPTEUR GRAPHIQUE SANS DROIT D'AUTEUR";;"7412Y";"1813Y";;;"SUCCES_ECHO"
"CONCEPTEUR GRAPHIQUE SANS DROIT D'AUTEUR";;"7412Y";"1813Y";;;"SUCCES_ECHO"
"CONCEPTEUR GRAPHIQUE SANS DROIT D'AUTEUR";"7412Y";"7412Y";"1813Y";;;"SUCCES_ECHO"
"CONCEPTEUR GRAPHIQUE SANS DROIT D'AUTEUR";"7412Y";"7412Y";"1813Y";;;"SUCCES_ECHO"
"CONCEPTEUR GRAPHIQUE SANS DROIT D'AUTEUR";"7412H";"7412Y";"1813Y";;;"SUCCES_ECHO"
"CONCEPTEUR GRAPHIQUE SANS DROIT D'AUTEUR";"7412Y";"7412Y";"1813Y";;;"SUCCES_ECHO"
"CONCEPTEUR GRAPHIQUE SANS DROITS D'AUTEUR";"7412Y";"7412Y";"1813Y";;;"SUCCES_ECHO"
"CONCEPTEUR GRAPHIQUE SANS DROITS D'AUTEUR";"/";"7412Y";"1813Y";;;"SUCCES_ECHO"
"CONCEPTION DE SITE WEB, DEVELOPPEMENT, VENTE DE SOLUTIONS INFORMATIQUES";"6210Y";"6210Y";"6210Y";1;;"SUCCES_ECHO"
"CONCEPTION DE SITE WEB, DEVELOPPEMENT, VENTE DE SOLUTIONS INFORMATIQUES";"6210Y";"6210Y";"6210Y";;;"SUCCES_ECHO"
